SCC,SPECIATION,ALLDAY,MONTHLY,SPATIAL
2302000000,1140,506,262,100
2461021000,95820,26,258,240
2461022000,95820,26,258,240
2461025100,95830,26,500,240
2461025200,95830,26,500,240
2461023000,95836,26,500,308
2802004001,95838,26,502,310
2802004002,95838,26,502,310
2802004003,95838,26,502,310
2401001000,95816,500,199,307
2401005000,2402,505,262,308
2401008000,3135,505,262,240
2401090000,3149,505,260,306
2401100000,3138,505,260,306
2401200000,3138,505,260,306
2415000000,99005,502,253,306
2420000000,2422,505,199,306
2425000000,95837,505,257,306
2460030999,95820,26,262,100
2460100000,99001,501,262,100
2460200000,99002,502,262,100
2460400000,99003,26,262,100
2460500000,99004,500,262,100
2460600000,95811,503,262,100
2460800000,95826,504,262,100
2460900000,95822,26,262,100
2461850000,95828,26,258,310
2401015000,2405,505,173,306
2401020000,2405,505,287,306
2401055000,3149,505,253,306
2401070000,3131,505,140,306
2401075000,2414,505,169,306
2401080000,2415,505,266,306
2401025000,2406,505,287,306
2401065000,3138,505,253,306
2401030000,2552,505,257,306
2401060000,2411,505,262,306
2401085000,2416,505,169,306
2401040000,2408,505,253,306
